players,line,over,under
Donovan Mitchell,28.5,−105,−125
Evan Mobley,14.5,−120,−105
Bobby Portis,8.5,−130,+100
Brook Lopez,10.5,−120,−105
Damian Lillard,24.5,−125,+100
Giannis Antetokounmpo,27.5,−110,−115
Jalen Brunson,23.5,−130,+105
Julius Randle,17.5,−130,+100
Khris Middleton,8.5,−105,−120
Malik Beasley,9.5,−125,+100
Mitchell Robinson,6.5,−130,+100
Quentin Grimes,6.5,−125,+100
RJ Barrett,18.5,−110,−115
Andrew Wiggins,12.5,−120,−105
Chet Holmgren,15.5,−125,+100
Chris Paul,9.5,−125,+100
Dario Saric,6.5,−115,−110
Draymond Green,7.5,−110,−120
Jalen Williams,19.5,−110,−115
Jonathan Kuminga,10.5,−110,−115
Josh Giddey,17.5,−110,−115
Klay Thompson,18.5,−110,−115
Luguentz Dort,13.5,+100,−125
Stephen Curry,28.5,−115,−110
Bam Adebayo,20.5,−115,−115
Daniel Gafford,9.5,+100,−125
Danilo Gallinari,6.5,−115,−115
Deni Avdija,9.5,−130,+100
Duncan Robinson,9.5,+100,−125
Jimmy Butler,19.5,−120,−105
Jordan Poole,18.5,−135,+105
Josh Richardson,6.5,−140,+110
Kevin Love,7.5,−115,−110
Kyle Kuzma,21.5,+105,−135
Kyle Lowry,7.5,−110,−115
Tyler Herro,24.5,−105,−120
Tyus Jones,9.5,−120,−105
Alex Caruso,6.5,−115,−110
Ben Simmons,7.5,−120,−105
Cameron Thomas,23.5,−110,−120
Coby White,11.5,−145,+110
DeMar DeRozan,21.5,−105,−120
Dorian Finney-Smith,10.5,+100,−130
Mikal Bridges,21.5,−110,−120
Nikola Vucevic,18.5,+110,−140
Patrick Williams,6.5,−120,−105
Royce O'Neale,7.5,−120,−110
Spencer Dinwiddie,14.5,−110,−115
Zach LaVine,25.5,+100,−125
Aaron Gordon,12.5,−110,−115
Christian Braun,6.5,−110,−115
Dereck Lively II,6.5,−125,+100
Derrick Jones Jr.,6.5,−140,+110
Grant Williams,8.5,−120,−105
Jamal Murray,20.5,−110,−115
Josh Green,6.5,−120,−105
Kentavious Caldwell-Pope,9.5,−110,−115
Kyrie Irving,22.5,−120,−105
Luka Doncic,29.5,−120,−105
Michael Porter Jr.,13.5,−105,−120
Nikola Jokic,26.5,−115,−115
Reggie Jackson,6.5,−105,−125
Tim Hardaway Jr.,14.5,−110,−120
David Roddy,7.5,−120,−110
Deandre Ayton,13.5,−110,−120
Desmond Bane,26.5,−110,−115
Jaren Jackson Jr.,20.5,−120,−105
Jerami Grant,20.5,−125,+100
Luke Kennard,8.5,−150,+120
Marcus Smart,14.5,−115,−115
Robert Williams,7.5,−105,−125
Shaedon Sharpe,21.5,−135,+105
Xavier Tillman,9.5,−110,−115
Ziaire Williams,9.5,−135,+105
